날짜,WTI,환율,VIX,PER,PBR,수출금액지수,OBV,ADX
2023-04-03,80.42,1305.48,18.55,10.28,0.89,118.14,82547500,14.98
2023-04-04,80.71,1308.05,19,10.32,0.89,118.14,83378000,15.54
2023-04-05,80.61,1312.41,19.08,10.38,0.9,118.14,84008400,16.32
2023-04-06,80.7,1316.21,18.4,10.2,0.88,118.14,83259300,16.01
2023-04-10,79.74,1315.45,18.97,10.47,0.91,118.14,84559500,16.71
2023-04-11,81.53,1320.88,19.1,10.61,0.92,118.14,85326300,18.26
2023-04-12,83.26,1322.09,19.09,10.65,0.92,118.14,86226100,19.93
2023-04-13,82.16,1322.83,17.8,10.68,0.93,118.14,87066400,21.21
2023-04-14,82.52,1301.43,17.07,10.7,0.93,118.14,87956900,22.85
2023-04-17,80.83,1303.38,16.95,10.71,0.93,118.14,88731500,24.37
2023-04-18,80.86,1316.07,16.83,10.7,0.93,118.14,87836300,25.91
2023-04-19,79.16,1315.9,16.46,10.71,0.93,118.14,88792300,27.33
2023-04-20,77.29,1326.76,17.17,10.67,0.93,118.14,87841900,27.62
2023-04-21,77.87,1323.6,16.77,10.61,0.92,118.14,86872900,26.83
2023-04-24,78.76,1329.38,16.89,10.54,0.91,118.14,85947000,25.44
2023-04-25,77.07,1332.8,18.76,10.41,0.9,118.14,85061800,24.8
2023-04-26,74.3,1341,18.84,10.39,0.9,118.14,83973700,24.21
2023-04-27,74.76,1337.83,17.03,10.43,0.9,118.14,84706300,24.13
2023-04-28,76.78,1339.39,15.78,10.47,0.91,118.14,85482700,23.26
2023-05-02,71.66,1342.79,17.78,11.26,0.92,125.47,86183000,22.15
2023-05-03,68.6,1342.3,18.34,11.18,0.92,125.47,85295700,21.32
2023-05-04,68.56,1335.23,20.09,11.16,0.92,125.47,84486600,20.95
2023-05-08,73.16,1316.96,16.98,11.26,0.92,125.47,85140500,19.59
2023-05-09,73.71,1322.41,17.71,11.23,0.92,125.47,84390000,18.89
2023-05-10,72.56,1326.05,16.94,11.16,0.92,125.47,83755600,18.48
2023-05-11,70.87,1318.05,16.93,11.13,0.91,125.47,83109300,17.94
2023-05-12,70.04,1329.88,17.03,11.08,0.91,125.47,82312100,18.04
2023-05-15,71.11,1341.52,17.12,11.1,0.91,125.47,82795400,18.65
2023-05-16,70.86,1335.4,17.99,11.13,0.91,125.47,83423300,18.31
2023-05-17,72.83,1342.43,16.87,11.18,0.92,125.47,83986600,17.99
2023-05-18,71.86,1334.15,16.05,11.29,0.93,125.47,84558100,16.95
2023-05-19,71.55,1334.74,16.81,11.44,0.94,125.47,85127400,16.37
2023-05-22,71.99,1324.21,17.21,11.51,0.95,125.47,85717900,16.66
2023-05-23,72.91,1313.83,18.53,11.54,0.95,125.47,86291700,17.3
2023-05-24,74.34,1319.84,20.03,11.52,0.95,125.47,85220100,17.61
2023-05-25,71.83,1318.52,19.14,11.48,0.94,125.47,84303400,17.73
2023-05-26,72.67,1330.89,17.95,11.54,0.95,125.47,84935200,17.85
2023-05-30,69.46,1324.59,17.46,11.69,0.96,125.47,85573700,18.56
2023-05-31,68.09,1319.79,17.94,11.6,0.95,125.47,84889800,19.52
2023-06-01,70.1,1321.74,15.65,11.56,0.95,126.86,84215600,19.81
2023-06-02,71.74,1312.85,14.6,11.72,0.96,126.86,84782100,20.72
2023-06-05,72.15,1305.14,14.73,11.76,0.97,126.86,85324800,22
2023-06-07,72.53,1299.2,13.94,11.74,0.96,126.86,85860100,23.47
2023-06-08,71.29,1308.34,13.65,11.72,0.96,126.86,85281400,23.84
2023-06-09,70.17,1296.33,13.83,14.14,0.94,126.86,85862900,24.98
2023-06-12,67.12,1286.69,15.01,14.05,0.94,126.86,85308600,26.16
2023-06-13,69.42,1284.58,14.61,14.14,0.94,126.86,86001100,27.25
2023-06-14,68.27,1267.62,13.88,14.06,0.94,126.86,85352300,27.25
2023-06-15,70.62,1273.99,14.5,14,0.93,126.86,84773300,26.69
2023-06-16,71.78,1270.05,13.54,14.08,0.94,126.86,85441700,26.16
2023-06-20,70.5,1283.24,13.88,13.97,0.93,126.86,84017100,23.95
2023-06-21,72.53,1287.54,13.2,13.85,0.92,126.86,83361700,22.39
2023-06-22,69.51,1288.38,12.91,13.92,0.93,126.86,83971900,21.1
2023-06-23,69.16,1298.21,13.44,13.81,0.92,126.86,83445400,20.23
2023-06-26,69.37,1307.67,14.25,13.89,0.93,126.86,83924600,19.68
2023-06-27,67.7,1302.66,13.74,13.89,0.93,126.86,83389200,19.17
2023-06-28,69.56,1296.6,13.43,13.81,0.92,126.86,82905000,19.1
2023-06-29,69.86,1309.01,13.54,13.72,0.92,126.86,82302500,19.42
2023-06-30,70.64,1323.07,13.59,13.79,0.92,126.86,82811300,20.04